show_a,show_b,cosine_similarity
Felo,Rudy Rey,0.9103657401833507
El Pampero,Profesor Salomón y Tutu-Tutu,0.8582806310174129
Bombo Fica,Carlos Helo,0.8494992113530876
Bastián Paz,Ruperto,0.8358666173500717
Julio Sabala,Rudy Rey,0.8355494985791361
Alejandra Azcárate,Jenny Cavallo,0.8341140900792201
Memo Bunke y Natalia Cuevas,Payahop,0.8165840199203639
Los Atletas de la Risa,Paulo Iglesias,0.7700843858954768
Julio Sabala,Mauricio Palma,0.76337070559182
Payahop,Rodrigo Villegas,0.7508928036109014
Felo,Julio Sabala,0.7482860921119606
Belén Mora,Jenny Cavallo,0.738477346030144
Dino Gordillo,Álvaro Salas,0.7334013183928
"Daniel Muñoz ""El Carmelo""",Payahop,0.7236837339797633
Dinamita Show,"Jorge ""Chino"" Navarrete",0.7176794736906899
Hermógenes Conache,Los Indolatinos,0.714831055936095
Alex Ortiz,Luis Slimming,0.7107143263969601
Julio Sabala,Memo Bunke y Natalia Cuevas,0.7078539069181875
Edmundo Arrocet,George Harris,0.7046215327777515
Dinamita Show,Álvaro Salas,0.7011446450155452
Coco Legrand,Jani Dueñas,0.6948188549710143
Huaso Filomeno,Hugo Varela,0.6930027919597079
Bastián Paz,Fusión Humor,0.6908393471058227
Fusión Humor,Ruperto,0.6896836152454661
Mauricio Palma,Payahop,0.6894094308852826
Edmundo Arrocet,Ricardo Meruane,0.6858483115706834
Lucho Miranda,Pamela Leiva,0.6783477549362612
"Daniel Muñoz ""El Carmelo""",Gloria Benavides,0.677385740974679
Gloria Benavides,Millenium Show,0.6771855434930174
Alejandra Azcárate,"Daniela ""Chiqui"" Aguayo",0.6767354098778553
Fabrizio Copano,Huaso Filomeno,0.6742426927372018
"Daniela ""Chiqui"" Aguayo",Zip-Zup,0.6718309964070712
Diego Urrutia,Rudy Rey,0.6693566531993167
Felipe Avello,Pamela Leiva,0.6642044912217345
Gloria Benavides,Stefan Kramer,0.6634538809164973
"Daniel Muñoz ""El Carmelo""",Millenium Show,0.662888261453236
Julio Sabala,Payahop,0.6609956299528015
Dinamita Show,Pancho del Sur,0.6609633251894109
Pedro Ruminot,Rodrigo González,0.6565404688569911
Edo Caroe,Fabrizio Copano,0.6545517448650802
Mauricio Palma,Rudy Rey,0.6524559468331957
Jorge Alís,Pedro Ruminot,0.6515566202000659
Alison Mandel,Pam Pam,0.6504658462274929
Dino Gordillo,Óscar Gangas,0.6501560459964142
Bastián Paz,Jani Dueñas,0.6473294911543592
Ruperto,Stefan Kramer,0.6437216953022143
Felo,Natalia Cuevas,0.6426791840657051
Edo Caroe,Rodrigo González,0.6399797772518077
Palta Meléndez,Álvaro Salas,0.6390480106655154
Gloria Benavides,Payahop,0.6383823446516087
