show_a,show_b,cosine_similarity
Millenium Show,Ruperto,0.8769796176279862
Memo Bunke,Piña Colada,0.8633756506313427
Edmundo Arrocet,Gilberto Gless,0.8632034546671047
Memo Bunke y Natalia Cuevas,Rudy Rey,0.8578545989139883
Edmundo Arrocet,Natalia Cuevas,0.8552169781168214
"Daniel Muñoz ""El Carmelo""",Rudy Rey,0.8455498801219821
Alejandra Azcárate,Alison Mandel,0.8394797090769831
Jorge Romero,Rudy Rey,0.8270820866354803
George Harris,Los Atletas de la Risa,0.8201655806020134
Edmundo Arrocet,Julio Sabala,0.799598098961066
Pamela Leiva,Stefan Kramer,0.7992069025135307
Gilberto Gless,Natalia Cuevas,0.79805891333132
George Harris,Paulo Iglesias,0.7978975438554818
Hugo Varela,Memo Bunke y Natalia Cuevas,0.7918284617495402
Felo,Julio Sabala,0.7907239213397388
Gloria Benavides,Jappening con ja,0.7883740120500703
Edmundo Arrocet,Hugo Goodman,0.7865529689240343
Alison Mandel,"Daniela ""Chiqui"" Aguayo",0.7751322504335761
Bombo Fica,Pedro Ruminot,0.7748351605403965
"Daniel Muñoz ""El Carmelo""",Jorge Romero,0.7692291068679035
Los Atletas de la Risa,Paulo Iglesias,0.7637033417244847
Gilberto Gless,Julio Sabala,0.7606612513486753
Carlos García,Rudy Rey,0.7596603435185116
Pedro Ruminot,Álvaro Salas,0.7433126407615831
"Daniel Muñoz ""El Carmelo""",Los Acetatos,0.7405986239518785
Arturo Ruiz-Tagle,Dinamita Show,0.7380179252945023
Fusión Humor,Stefan Kramer,0.735279510353795
Alejandra Azcárate,Natalia Valdebenito,0.7300150432681514
Carlos García,"Daniel Muñoz ""El Carmelo""",0.7297258349353026
Carlos García,Memo Bunke y Natalia Cuevas,0.7282782403112594
"Daniel Muñoz ""El Carmelo""",Felo,0.7277946797538577
Jappening con ja,Piña Colada,0.7238542425513335
Juan Pablo López,Palta Meléndez,0.7116430696231875
Carlos García,Julio Sabala,0.7113769608738837
Felo,Jorge Romero,0.7110574180485689
Dino Gordillo,Sandy,0.708342768409084
Álvaro Salas,Óscar Gangas,0.7072740149357031
Felo,Rudy Rey,0.704093401594121
Gilberto Gless,Los Acetatos,0.7005147594583512
Edmundo Arrocet,Felo,0.7004898339787738
Felo,Memo Bunke y Natalia Cuevas,0.6983196348464049
Huaso Filomeno,Luis Slimming,0.693674780162806
Gloria Benavides,Hugo Varela,0.6891358274065308
Hermógenes Conache,Álvaro Salas,0.688377590800206
"Daniel Muñoz ""El Carmelo""",Memo Bunke y Natalia Cuevas,0.6867397851365965
Rodrigo González,Óscar Gangas,0.6864375397895034
Carlos García,Edmundo Arrocet,0.6863383457272041
Jani Dueñas,Jenny Cavallo,0.6849841088338618
Gloria Benavides,Memo Bunke y Natalia Cuevas,0.684537134826594
